Full_Name	Personality_Color	ColorType_Strengths	True_Color_Holiday_Gift_Ideas
Henry Ford	Gold	Leaders TroubleShooters Good negotiators	A Time management System
Santa Claus	Gold	Leaders TroubleShooters Good negotiators	A gift certificate to a favorite store
Harry Truman	Gold	Leaders TroubleShooters Good negotiators	A cookbook or recipe book
Archie Bunker	Gold	Leaders TroubleShooters Good negotiators	A Time management System
Joan Rivers	Gold	Leaders TroubleShooters Good negotiators	A gift certificate to a favorite store
George Washington	Gold	Leaders TroubleShooters Good negotiators	A cookbook or recipe book
Florence Nightingale	Gold	Leaders TroubleShooters Good negotiators	A Time management System
Gerald Ford	Gold	Leaders TroubleShooters Good negotiators	A gift certificate to a favorite store
Lone Ranger	Gold	Leaders TroubleShooters Good negotiators	A cookbook or recipe book
Nancy Reagan	Gold	Leaders TroubleShooters Good negotiators	A Time management System
Johnny Carson	Gold	Leaders TroubleShooters Good negotiators	A gift certificate to a favorite store
Joe Friday	Gold	Leaders TroubleShooters Good negotiators	A cookbook or recipe book
Alex Keaton	Gold	Leaders TroubleShooters Good negotiators	A Time management System
Queen Victoria	Gold	Leaders TroubleShooters Good negotiators	A gift certificate to a favorite store
Carl Jung	Green	Analyzing Planning ProblemSolving	Authentic art work
Oscar Madison	Green	Analyzing Planning ProblemSolving	Puzzles
Quincy Jones	Green	Analyzing Planning ProblemSolving	A chess game
John DeLorean	Green	Analyzing Planning ProblemSolving	Authentic art work
Frank Lloyd Wright	Green	Analyzing Planning ProblemSolving	Puzzles
Ayn Rand	Green	Analyzing Planning ProblemSolving	A chess game
Benjamin Franklin	Green	Analyzing Planning ProblemSolving	Authentic art work
Thomas Edison	Green	Analyzing Planning ProblemSolving	Puzzles
Katherine Hepburn	Green	Analyzing Planning ProblemSolving	A chess game
Douglas MacArthur	Green	Analyzing Planning ProblemSolving	Authentic art work
Sherlock Holmes	Green	Analyzing Planning ProblemSolving	Puzzles
Dwight Eisenhower	Green	Analyzing Planning ProblemSolving	A chess game
Eleanor Roosevelt	Green	Analyzing Planning ProblemSolving	Puzzles
Madame Curie	Green	Analyzing Planning ProblemSolving	A chess game
Lee Iacocca	Orange	Flexibility Motivating Others Initiating Change	Restaurant gift certificate
Amelia Earhart	Orange	Flexibility Motivating Others Initiating Change	Sports Equipment
George Patton	Orange	Flexibility Motivating Others Initiating Change	A favorite music CD
Oliver North	Orange	Flexibility Motivating Others Initiating Change	Tickets to a favorite sports event or Concert
Teddy Roosevelt	Orange	Flexibility Motivating Others Initiating Change	An expensive dinner
Lucille Ball	Orange	Flexibility Motivating Others Initiating Change	Gym bag
James Dean	Orange	Flexibility Motivating Others Initiating Change	A shower Massager
Winston Churchill	Orange	Flexibility Motivating Others Initiating Change	A big screen TV
Rhett Butler	Orange	Flexibility Motivating Others Initiating Change	A vacation getaway
Charlie Brown	Orange	Flexibility Motivating Others Initiating Change	Restaurant gift certificate
John Wayne	Orange	Flexibility Motivating Others Initiating Change	Sports Equipment
Gracie Allen	Orange	Flexibility Motivating Others Initiating Change	A favorite music CD
Ernest Hemmingway	Orange	Flexibility Motivating Others Initiating Change	Tickets to a favorite sports event or Concert
Edith Bunker	Orange	Flexibility Motivating Others Initiating Change	An expensive dinner
Mother Teresa	Blue	Caring Recognizing emotional Mentoring	Picture Frames
Pope John XXII	Blue	Caring Recognizing emotional Mentoring	Flowers
Oprah Winfrey	Blue	Caring Recognizing emotional Mentoring	Jewelry
Sigmund Freud	Blue	Caring Recognizing emotional Mentoring	A self-help book
Julius Ceasar	Blue	Caring Recognizing emotional Mentoring	Perfume or Cologne
Beverly Sills	Blue	Caring Recognizing emotional Mentoring	A spiritual retreat
Brigham Young	Blue	Caring Recognizing emotional Mentoring	A candlelight dinner
Mohammed Ali	Blue	Caring Recognizing emotional Mentoring	Picture Frames
President Clinton	Blue	Caring Recognizing emotional Mentoring	Flowers
Thomas Jefferson	Blue	Caring Recognizing emotional Mentoring	Jewelry
Emily Dickinson	Blue	Caring Recognizing emotional Mentoring	A self-help book
Garrison Keillor	Blue	Caring Recognizing emotional Mentoring	Perfume or Cologne
Isabel Myers Briggs	Blue	Caring Recognizing emotional Mentoring	A spiritual retreat
Abraham Lincoln	Blue	Caring Recognizing emotional Mentoring	A candlelight dinner
